direction,arm,start_12,end_12,start_22,end_22,start_23,end_23,start_24,end_24,start_25,end_25,start_26,end_26,start_27,end_27,start_28,end_28
right,right,0.1897631585597992,0.1890667825937271,-0.8620612621307373,-0.417134940624237,0.1273331940174102,-0.400404155254364,0.2769794166088104,-0.5631867051124573,0.3625707626342773,0.3576332628726959,0.3708638250827789,0.3917883038520813,0.0174567028880119,0.0132229151204228,0.064174085855484,0.1160916686058044
back,right,0.1890667825937271,-0.1269015967845916,-0.3478061854839325,0.5901631712913513,-0.2936007380485534,-0.0984975546598434,-0.559699296951294,-0.0136859854683279,0.2430760413408279,-0.4462805688381195,0.3900865316390991,0.1444698423147201,-0.0886947736144065,-0.4791159033775329,0.1479447782039642,0.157723918557167
forward,right,-0.1265534162521362,0.3244722485542297,0.5075559020042419,-0.6640698909759521,-0.0976826250553131,-0.2152119278907776,-0.0056685386225581,-0.4945530295372009,-0.365255206823349,0.4888844788074493,0.1443140357732772,0.1525352150201797,-0.4786710739135742,0.0576776787638664,0.1577162444591522,0.1123027428984642
right,right,0.3247132897377014,0.3232000172138214,-0.6246058344841003,-0.1838500052690506,-0.1917348206043243,-0.3440783023834228,-0.4857446253299713,-0.9573478698730468,0.4445548355579376,0.4495162963867187,0.155315563082695,0.1552796065807342,0.0297362189739942,-0.0132535947486758,0.1118962317705154,0.0418853461742401
down,right,0.3233339190483093,0.3234410583972931,-0.1661253273487091,-0.0338194854557514,-0.2921746075153351,0.0261503793299198,-0.949042797088623,-0.951355755329132,0.4423736929893493,1.130927324295044,0.1529666483402252,0.1531703770160675,0.066306322813034,0.0796059370040893,0.0418776795268058,0.0178018473088741
left,right,0.3234142661094665,0.23517507314682,-0.0321656614542007,-0.1806382238864898,0.0824522674083709,0.0790966898202896,-0.9508883357048036,0.5357428193092346,1.1319940090179443,0.6580178737640381,0.153110459446907,-0.1586711406707763,0.0796059370040893,-0.4467259049415588,0.0178018473088741,0.2682318985462188
back,right,0.2352018654346466,0.233353778719902,-0.1443380117416381,0.3586279451847076,0.0732483863830566,-0.1762631833553314,0.5360543727874756,0.1485804319381714,0.6912141442298889,1.0096230506896973,-0.1594381332397461,-0.1294176429510116,-0.4466952383518219,-1.6264952421188354,0.2685540318489074,0.2134227603673935
forward,right,0.233353778719902,0.2914210557937622,0.3585560321807861,-0.5307693481445312,-0.161462664604187,0.1362374722957611,0.1498747169971466,0.2985030710697174,1.0128347873687744,0.8697431683540344,-0.1298850327730178,-0.1683903485536575,-1.607136368751526,-0.095060795545578,0.2198884934186935,0.2199115008115768
down,right,0.2918227910995483,0.3236955106258392,-0.4856007993221283,0.0155435400083661,0.1365610361099243,0.0684067606925964,0.3017747700214386,0.306113064289093,0.7951773405075073,1.170966625213623,-0.1689655929803848,-0.1693131327629089,-0.0885950624942779,-0.0688143819570541,0.2204330563545227,0.2161379009485244
right,right,0.3236955106258392,0.3196645379066467,0.0169217251241207,0.0853037163615226,0.0682869106531143,-0.3419570922851562,0.3060291707515716,-0.7300190925598145,1.1711344718933103,1.1507372856140137,-0.1693251132965088,-0.1592823415994644,-0.0687376856803894,-0.0708699151873588,0.2161532491445541,-0.0083832051604986
forward,right,0.3197315037250519,0.0235027763992548,0.0853276848793029,-0.6059584021568298,-0.2712142169475555,-0.1846401542425155,-0.7300789952278137,-0.48005211353302,1.148711919784546,0.7333267331123352,-0.1590905934572219,-0.1682824939489364,-0.0717672929167747,-0.4442255198955536,-0.0083908755332231,0.1979985833168029
right,right,0.0235429517924785,0.0211725868284702,-0.6020035743713379,-0.1516843438148498,-0.1275353282690048,-0.3216797709465027,-0.4811546504497528,-0.8446242213249207,0.7293359637260437,0.7329911589622498,-0.167851060628891,0.0766870602965354,-0.4464267790317535,-0.4431747496128082,0.1425605118274688,0.0418700091540813
down,right,0.0213332902640104,0.0213065054267644,-0.1177809685468673,0.0579796805977821,-0.2772063016891479,0.0416939184069633,-0.9118797183036804,-0.9160861372947692,0.7231640815734863,1.2461076974868774,0.0674831718206405,0.0674831718206405,-0.4434661865234375,0.0032980588730424,0.0645805969834327,-0.0338089391589164
up,right,0.0213065054267644,0.0230340603739023,0.0538930594921112,-0.6159532070159912,0.0502386726438999,-0.0995401740074157,-0.9159063696861268,-0.3986912071704864,1.2460358142852783,0.0168857742100954,0.0673992857336998,1.2428001165390017,0.0032520394306629,-0.0392622388899326,-0.0984508916735649,0.2487043142318725
forward,right,0.0231411959975957,0.4068457782268524,-0.496230810880661,-0.6094817519187927,-0.0540959909558296,-0.4288307428359985,-0.3961385786533355,-0.7571393847465515,0.0093476958572864,0.5247532725334167,1.2441303730010986,1.057392120361328,-0.0377129204571247,0.1301659494638443,0.2486966550350189,0.0803038999438285
